"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"1","Antonio Brown","WR","PIT",181,129,1698,1831,601,13,10.1,0.93,0.33,0.3,0.67,378.1
"2","Demaryius Thomas","WR","DEN",184,111,1619,1832,659,11,10,0.88,0.36,0.3,0.71,338.9
"3","Jordy Nelson","WR","GB",151,98,1519,1727,496,13,11.4,0.88,0.4,0.28,0.7,327.9
"4","Dez Bryant","WR","DAL",136,88,1320,1621,436,16,11.9,0.81,0.39,0.29,0.7,316
"5","Emmanuel Sanders","WR","DEN",141,101,1404,1761,379,9,12.5,0.8,0.35,0.23,0.59,299.8
"6","Julio Jones","WR","ATL",163,104,1593,2033,539,6,12.5,0.78,0.44,0.27,0.72,299.4
"7","Odell Beckham","WR","NYG",130,91,1305,1581,486,12,12.2,0.83,0.38,0.28,0.68,297
"8","Randall Cobb","WR","GB",127,91,1287,1135,584,12,8.9,1.13,0.26,0.24,0.54,295.4
"9","Jeremy Maclin","WR","PHI",144,86,1329,1895,502,10,13.2,0.7,0.34,0.23,0.59,278.9
"10","Rob Gronkowski","TE","NE",131,82,1124,1287,450,12,9.8,0.87,0.28,0.23,0.54,266.4
"11","Alshon Jeffery","WR","CHI",145,85,1133,1604,452,10,11.1,0.71,0.36,0.24,0.61,261.6
"12","T.Y. Hilton","WR","IND",131,82,1345,1807,366,7,13.8,0.74,0.33,0.21,0.55,260.5
"13","Golden Tate","WR","DET",143,99,1331,1123,694,4,7.9,1.19,0.23,0.24,0.52,259.1
"14","Mike Evans","WR","TB",123,68,1051,1811,177,12,14.7,0.58,0.35,0.25,0.62,245.1
"15","Jimmy Graham","TE","NO",125,85,889,1034,295,10,8.3,0.86,0.22,0.2,0.45,233.9
"16","DeAndre Hopkins","WR","HOU",127,76,1210,1634,373,6,12.9,0.74,0.42,0.26,0.69,233
"17","Kelvin Benjamin","WR","CAR",145,73,1008,2023,178,9,14,0.5,0.38,0.27,0.67,227.8
"18","Antonio Gates","TE","SD",98,69,821,906,256,12,9.2,0.91,0.18,0.17,0.39,223.1
"19","Julian Edelman","WR","NE",134,92,972,1053,420,4,7.9,0.92,0.24,0.25,0.54,222.6
"20","Greg Olsen","TE","CAR",123,84,1008,1111,326,6,9,0.91,0.21,0.23,0.49,220.8
"21","Martellus Bennett","TE","CHI",129,90,916,767,449,6,5.9,1.19,0.17,0.21,0.44,217.6
"22","Mike Wallace","WR","MIA",115,67,862,1532,219,10,13.3,0.56,0.32,0.19,0.51,214.8
"23","Brandon LaFell","WR","NE",119,74,953,1225,368,7,10.3,0.78,0.25,0.2,0.47,212.6
"24","DeSean Jackson","WR","WAS",95,56,1169,1348,513,6,14.2,0.87,0.34,0.19,0.52,209.6
"25","A.J. Green","WR","CIN",116,69,1041,1511,309,6,13,0.69,0.5,0.31,0.82,209.3
"26","Jordan Matthews","WR","PHI",103,67,872,913,377,8,8.9,0.96,0.16,0.17,0.36,202.2
"27","Eric Decker","WR","NYJ",114,74,962,1269,308,5,11.1,0.76,0.34,0.24,0.61,200.2
"28","Sammy Watkins","WR","BUF",128,65,982,1703,343,6,13.3,0.58,0.4,0.22,0.61,200
"29","Torrey Smith","WR","BAL",92,49,767,1358,169,11,14.8,0.56,0.31,0.18,0.48,191.7
"30","Jarvis Landry","WR","MIA",112,84,755,638,406,5,5.7,1.18,0.13,0.19,0.37,189.1
"31","Travis Kelce","TE","KC",87,67,862,517,483,5,5.9,1.67,0.18,0.18,0.39,183.2
"32","Brandon Marshall","WR","CHI",106,61,721,1259,224,8,11.9,0.57,0.33,0.21,0.54,181.1
"33","Keenan Allen","WR","SD",121,77,783,1009,303,4,8.3,0.78,0.25,0.25,0.55,179.3
"34","Coby Fleener","TE","IND",92,51,774,1011,295,8,11,0.77,0.17,0.14,0.33,176.4
"35","Delanie Walker","TE","TEN",106,63,890,950,411,4,9,0.94,0.21,0.22,0.47,176
"36","Kenny Stills","WR","NO",83,63,931,1053,207,3,12.7,0.88,0.22,0.13,0.36,173.9
"37","Mohamed Sanu","WR","CIN",99,57,790,1124,329,5,11.4,0.7,0.28,0.2,0.49,171.1
"38","Kendall Wright","WR","TEN",93,57,715,807,363,6,8.7,0.89,0.2,0.21,0.45,169.9
"39","Doug Baldwin","WR","SEA",98,66,825,927,314,3,9.5,0.89,0.24,0.22,0.49,167.3
"40","Michael Floyd","WR","ARI",99,47,841,1751,111,6,17.7,0.48,0.29,0.17,0.46,167.3
