"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"58","Jason Witten","TE","DAL",95,69,673,608,273,3,6.4,1.11,0.16,0.2,0.42,154.3
"59","Antonio Gates","TE","SD",93,53,548,769,188,7,8.3,0.71,0.19,0.2,0.43,149.8
"60","Mohamed Sanu","WR","ATL",81,59,653,646,287,4,8,1.01,0.14,0.16,0.34,148.8
"61","Tavon Austin","WR","LA",106,58,509,730,272,3,6.9,0.7,0.2,0.21,0.46,148.8
"62","Jeremy Kerley","WR","SF",115,64,667,993,219,3,8.6,0.67,0.25,0.23,0.52,148.7
"63","Randall Cobb","WR","GB",84,60,610,534,364,4,6.4,1.14,0.12,0.17,0.33,148.3
"64","Jack Doyle","TE","IND",75,59,584,480,246,5,6.4,1.22,0.1,0.13,0.26,147.4
"65","Alshon Jeffery","WR","CHI",94,52,821,1260,199,2,13.4,0.65,0.32,0.22,0.56,146.1
"66","Eric Ebron","TE","DET",85,61,711,704,283,1,8.3,1.01,0.18,0.17,0.37,144.2
"67","Taylor Gabriel","WR","ATL",51,36,588,532,284,6,10.4,1.11,0.15,0.13,0.3,141.9
"68","J.J. Nelson","WR","ARI",74,34,568,1249,174,6,16.9,0.45,0.24,0.13,0.36,141.1
"69","Travis Benjamin","WR","SD",75,47,677,1038,246,4,13.8,0.65,0.24,0.15,0.39,138.4
"70","Coby Fleener","TE","NO",82,50,631,761,212,3,9.3,0.83,0.16,0.12,0.29,137.3
"71","Charles Clay","TE","BUF",87,57,552,694,192,4,8,0.8,0.17,0.2,0.42,136.2
"72","C.J. Fiedorowicz","TE","HOU",89,54,559,609,212,4,6.8,0.92,0.13,0.17,0.34,133.9
"73","Hunter Henry","TE","SD",53,36,482,462,198,8,8.7,1.04,0.11,0.11,0.25,132.2
"74","Adam Humphries","WR","TB",83,55,622,461,382,2,5.6,1.35,0.08,0.15,0.28,131
"75","Chris Hogan","WR","NE",58,38,680,800,241,4,13.8,0.85,0.21,0.11,0.31,130.9
"76","Terrance Williams","WR","DAL",61,44,594,716,171,4,11.7,0.83,0.19,0.13,0.33,127.4
"77","Tyler Boyd","WR","CIN",81,54,603,674,201,1,8.3,0.89,0.15,0.14,0.32,126.1
"78","Eli Rogers","WR","PIT",66,48,594,623,204,3,9.4,0.95,0.15,0.14,0.31,126
"79","Tyler Lockett","WR","SEA",66,41,597,698,216,1,10.6,0.86,0.15,0.12,0.29,124.1
"80","Will Fuller","WR","HOU",92,47,635,1428,238,2,15.5,0.44,0.32,0.18,0.49,122.2
"81","Zach Miller","TE","CHI",64,47,486,427,221,4,6.7,1.14,0.14,0.18,0.37,119.6
"82","Robert Woods","WR","BUF",76,51,613,837,124,1,11,0.73,0.23,0.19,0.45,118.9
"83","Robby Anderson","WR","NYJ",78,42,587,1317,131,2,16.9,0.45,0.31,0.16,0.46,116.9
"84","Brian Quick","WR","LA",77,41,564,858,177,3,11.1,0.66,0.22,0.14,0.37,115.4
"85","Vernon Davis","TE","WAS",59,44,583,527,238,2,8.9,1.11,0.11,0.1,0.23,114.3
"86","Cordarrelle Patterson","WR","MIN",70,52,453,343,329,2,4.9,1.32,0.09,0.12,0.24,113.6
"87","Lance Kendricks","TE","LA",87,50,499,433,276,2,5,1.15,0.11,0.16,0.32,111.9
"88","Dwayne Allen","TE","IND",52,35,406,468,118,6,9,0.87,0.11,0.1,0.23,111.6
"89","Jeremy Maclin","WR","KC",76,44,536,820,141,2,10.8,0.65,0.28,0.19,0.48,109.5
"90","Seth Roberts","WR","OAK",77,38,397,649,195,5,8.4,0.61,0.14,0.13,0.29,107.7
"91","Ryan Griffin","TE","HOU",74,50,442,509,168,2,6.9,0.87,0.1,0.13,0.26,106.2
"92","Tajae Sharpe","WR","TEN",83,41,522,1089,90,2,13.1,0.48,0.23,0.16,0.41,105.3
"93","John Brown","WR","ARI",72,39,517,1017,99,2,14.1,0.51,0.18,0.12,0.31,103.7
"94","Donte Moncrief","WR","IND",56,30,307,576,78,7,10.3,0.53,0.21,0.17,0.4,102.6
"95","Michael Floyd","WR","ARI",70,33,446,1051,55,4,15,0.42,0.23,0.14,0.37,101.6
"96","Breshad Perriman","WR","BAL",66,33,499,899,172,3,13.6,0.56,0.19,0.1,0.29,101.1
"97","Allen Hurns","WR","JAC",76,35,477,749,211,3,9.9,0.64,0.2,0.17,0.4,100.7
"98","Phillip Dorsett","WR","IND",59,33,528,766,150,2,13,0.69,0.17,0.11,0.28,98.8
"99","Tyler Eifert","TE","CIN",47,29,394,367,132,5,7.8,1.07,0.16,0.17,0.37,98.4
"100","Jermaine Kearse","WR","SEA",89,41,511,1042,138,1,11.7,0.49,0.21,0.16,0.38,98.1
"101","Chris Conley","WR","KC",69,44,530,657,167,0,9.5,0.81,0.17,0.13,0.31,97
"102","Rob Gronkowski","TE","NE",38,25,540,499,255,3,13.1,1.08,0.24,0.14,0.39,97
"103","Malcolm Mitchell","WR","NE",48,32,401,498,167,4,10.4,0.81,0.15,0.11,0.28,96.1
"104","Will Tye","TE","NYG",70,48,395,445,186,1,6.4,0.89,0.09,0.12,0.24,93.5
"105","Corey Coleman","WR","CLE",73,33,413,1028,97,3,14.1,0.4,0.34,0.22,0.57,93.3
"106","Jesse James","TE","PIT",60,39,338,413,129,3,6.9,0.82,0.08,0.1,0.21,90.8
"107","Kendall Wright","WR","TEN",43,29,416,435,124,3,10.1,0.96,0.13,0.12,0.27,90.1
"108","Marquise Goodwin","WR","BUF",68,29,431,1007,144,3,14.8,0.43,0.26,0.16,0.43,90.1
"109","Jermaine Gresham","TE","ARI",61,37,390,466,137,2,7.6,0.84,0.07,0.09,0.19,88
"110","Vance McDonald","TE","SF",45,24,391,439,207,4,9.8,0.89,0.16,0.14,0.32,87.1
"111","Clive Walford","TE","OAK",52,33,359,422,116,3,8.1,0.85,0.1,0.09,0.21,86.9
"112","Nelson Agholor","WR","PHI",69,36,365,728,98,2,10.6,0.5,0.17,0.12,0.3,85.9
"113","Devin Funchess","WR","CAR",58,23,371,766,103,4,13.2,0.48,0.15,0.12,0.28,84.1
"114","Sammy Watkins","WR","BUF",52,28,430,745,52,2,14.3,0.58,0.34,0.23,0.58,83
"115","Julius Thomas","TE","JAC",51,30,281,363,95,4,7.1,0.77,0.11,0.13,0.28,82.1
"116","Garrett Celek","TE","SF",51,29,350,472,115,3,9.3,0.74,0.13,0.11,0.26,82
"117","Albert Wilson","WR","KC",51,31,279,361,168,2,7.1,0.77,0.11,0.11,0.24,81.9
"118","Sammie Coates","WR","PIT",49,21,435,1018,109,2,20.8,0.43,0.22,0.09,0.3,77.9
"119","Trey Burton","TE","PHI",60,37,327,475,137,1,7.9,0.69,0.12,0.11,0.25,75.7
"120","Dion Sims","TE","MIA",35,26,256,217,130,4,6.2,1.18,0.07,0.09,0.18,75.6
"121","Jared Cook","TE","GB",51,30,377,503,147,1,9.9,0.75,0.16,0.15,0.34,73.7
"122","Brandon Coleman","WR","NO",38,26,281,425,74,3,11.2,0.66,0.1,0.06,0.17,72.1
"123","Danny Amendola","WR","NE",29,23,245,248,82,4,8.6,0.99,0.08,0.07,0.16,71.5
"124","Russell Shepard","WR","TB",40,23,341,548,76,2,13.7,0.62,0.12,0.09,0.21,70
"125","Richard Rodgers","TE","GB",47,30,271,398,105,2,8.5,0.68,0.08,0.08,0.18,69.1
"126","Kamar Aiken","WR","BAL",50,29,328,569,106,1,11.4,0.58,0.11,0.07,0.19,67.8
"127","Justin Hardy","WR","ATL",31,21,203,267,48,4,8.6,0.76,0.07,0.07,0.16,65.3
"128","Torrey Smith","WR","SF",49,20,267,660,61,3,13.5,0.4,0.21,0.13,0.35,64.7
"129","Austin Hooper","TE","ATL",27,19,271,275,66,3,10.2,0.99,0.07,0.06,0.15,64.1
