"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"1","Antonio Brown","WR","PIT",193,136,1834,2123,587,10,11,0.86,0.36,0.33,0.74,382.2
"2","Julio Jones","WR","ATL",203,136,1871,2063,641,8,10.2,0.91,0.43,0.33,0.79,371.1
"3","Brandon Marshall","WR","NYJ",173,109,1502,2096,442,14,12.1,0.72,0.38,0.29,0.69,343.2
"4","DeAndre Hopkins","WR","HOU",191,111,1521,2674,231,11,14,0.57,0.45,0.31,0.78,329.1
"5","Odell Beckham","WR","NYG",158,96,1449,1829,589,13,11.6,0.79,0.41,0.27,0.69,319.2
"6","Allen Robinson","WR","JAC",151,80,1400,2245,356,14,14.9,0.62,0.4,0.25,0.65,304
"7","Larry Fitzgerald","WR","ARI",146,109,1215,1279,462,9,8.8,0.95,0.21,0.26,0.54,284.5
"8","A.J. Green","WR","CIN",132,86,1297,1687,336,10,12.8,0.77,0.38,0.26,0.66,275.7
"9","Demaryius Thomas","WR","DEN",177,105,1304,1859,463,6,10.5,0.7,0.34,0.29,0.67,271.4
"10","Doug Baldwin","WR","SEA",103,78,1069,988,442,14,9.6,1.08,0.24,0.21,0.48,268.9
"11","Jarvis Landry","WR","MIA",167,111,1159,1231,538,4,7.4,0.94,0.24,0.28,0.59,268
"12","Rob Gronkowski","TE","NE",120,72,1176,1251,554,11,10.4,0.94,0.29,0.21,0.52,255.6
"13","Eric Decker","WR","NYJ",132,80,1027,1541,214,12,11.7,0.67,0.31,0.24,0.58,254.7
"14","Brandin Cooks","WR","NO",129,84,1140,1496,446,9,11.6,0.76,0.29,0.19,0.5,253.8
"15","Jordan Reed","TE","WAS",114,87,952,759,473,11,6.7,1.25,0.2,0.24,0.5,248.2
"16","Jeremy Maclin","WR","KC",124,87,1088,1276,354,8,10.3,0.85,0.43,0.28,0.72,244.9
"17","Delanie Walker","TE","TEN",133,94,1088,1187,389,6,8.9,0.92,0.27,0.26,0.57,242.4
"18","Jordan Matthews","WR","PHI",128,85,997,1056,414,8,8.2,0.94,0.25,0.21,0.48,232.7
"19","Michael Crabtree","WR","OAK",146,85,922,1446,264,9,9.9,0.64,0.3,0.24,0.58,231.2
"20","Greg Olsen","TE","CAR",124,77,1104,1307,344,7,10.5,0.84,0.25,0.25,0.55,229.4
"21","Emmanuel Sanders","WR","DEN",136,76,1135,1878,387,6,13.8,0.6,0.35,0.23,0.6,228.4
"22","Allen Hurns","WR","JAC",105,64,1030,1204,369,10,11.5,0.86,0.23,0.18,0.44,227
"23","Sammy Watkins","WR","BUF",96,60,1047,1605,179,9,16.7,0.65,0.42,0.26,0.69,218.8
"24","Amari Cooper","WR","OAK",130,72,1070,1349,373,6,10.4,0.79,0.28,0.21,0.52,214.7
"25","Mike Evans","WR","TB",148,74,1208,2180,234,3,14.7,0.55,0.43,0.29,0.75,212.8
"26","Golden Tate","WR","DET",129,90,813,767,526,6,5.9,1.06,0.19,0.2,0.44,211.4
"27","T.Y. Hilton","WR","IND",134,69,1124,1733,381,5,12.9,0.65,0.33,0.22,0.56,211.4
"28","John Brown","WR","ARI",101,65,1003,1502,324,7,14.9,0.67,0.27,0.19,0.48,209.5
"29","Randall Cobb","WR","GB",129,79,829,976,436,6,7.6,0.85,0.21,0.23,0.49,202.9
"30","Kamar Aiken","WR","BAL",127,75,944,1600,211,5,12.6,0.59,0.31,0.19,0.5,199.4
"31","Tavon Austin","WR","STL",87,52,473,636,371,5,7.3,0.74,0.17,0.18,0.4,196.7
