"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"1","Michael Thomas","WR","NO",185,149,1725,1488,583,9,8,1.16,0.4,0.32,0.75,374.6
"2","Chris Godwin","WR","TB",121,86,1333,1301,577,9,10.8,1.02,0.23,0.22,0.49,274.1
"3","Julio Jones","WR","ATL",157,99,1394,1913,364,6,12.2,0.73,0.37,0.25,0.63,274.1
"4","Cooper Kupp","WR","LA",134,94,1161,1007,538,10,7.5,1.15,0.21,0.21,0.46,270.5
"5","DeAndre Hopkins","WR","HOU",150,104,1165,1580,387,7,10.5,0.74,0.34,0.3,0.69,264.3
"6","Keenan Allen","WR","LAC",149,104,1199,1501,374,6,10.1,0.8,0.3,0.25,0.58,261.5
"7","Travis Kelce","TE","KC",136,97,1229,1218,410,5,9,1.01,0.25,0.24,0.53,256.3
"8","Allen Robinson","WR","CHI",154,98,1147,1750,272,7,11.4,0.66,0.39,0.27,0.67,254.9
"9","Julian Edelman","WR","NE",153,100,1117,1473,320,6,9.6,0.76,0.3,0.25,0.58,250.4
"10","Kenny Golladay","WR","DET",116,65,1190,1756,304,11,15.1,0.68,0.32,0.2,0.53,250
"11","Amari Cooper","WR","DAL",119,79,1189,1485,278,8,12.5,0.8,0.26,0.2,0.48,246.5
"12","DeVante Parker","WR","MIA",128,72,1202,1798,263,9,14,0.67,0.33,0.21,0.54,246.2
"13","Jarvis Landry","WR","CLE",138,83,1174,1395,436,6,10.1,0.84,0.29,0.26,0.59,237.4
"14","Tyler Lockett","WR","SEA",110,82,1057,1364,308,8,12.4,0.77,0.28,0.21,0.51,235.2
"15","Robert Woods","WR","LA",139,90,1134,1175,576,2,8.5,0.97,0.25,0.23,0.51,232.9
"16","D.J. Moore","WR","CAR",135,87,1175,1499,384,4,11.1,0.78,0.31,0.23,0.56,232.5
"17","Mike Evans","WR","TB",118,67,1157,1809,256,8,15.3,0.64,0.35,0.23,0.59,230.7
"18","Tyler Boyd","WR","CIN",148,90,1046,1186,423,5,8,0.88,0.25,0.24,0.53,226.9
"19","D.J. Chark","WR","JAC",118,73,1008,1358,329,8,11.5,0.74,0.33,0.21,0.55,223.8
"20","Darren Waller","TE","OAK",117,90,1145,856,570,3,7.3,1.34,0.25,0.22,0.51,223
"21","George Kittle","TE","SF",107,85,1053,678,602,5,6.3,1.55,0.26,0.28,0.6,222.5
"22","Courtland Sutton","WR","DEN",124,72,1112,1471,352,6,11.9,0.76,0.41,0.25,0.65,220.9
"23","Stefon Diggs","WR","MIN",94,63,1130,1424,302,6,15.1,0.79,0.41,0.21,0.6,218.1
"24","A.J. Brown","WR","TEN",84,52,1051,1107,465,8,13.2,0.95,0.29,0.19,0.48,217.1
"25","Zach Ertz","TE","PHI",135,88,916,1167,255,6,8.6,0.78,0.25,0.24,0.53,215.6
"26","John Brown","WR","BUF",115,72,1060,1688,210,6,14.7,0.63,0.38,0.24,0.63,214.7
"27","Davante Adams","WR","GB",127,83,997,1270,388,5,10,0.79,0.33,0.29,0.67,212.7
"28","Michael Gallup","WR","DAL",113,66,1107,1376,333,6,12.2,0.8,0.28,0.21,0.51,212.7
"29","Mark Andrews","TE","BAL",98,64,852,1035,291,10,10.6,0.82,0.28,0.23,0.55,209.2
"30","Odell Beckham","WR","CLE",133,74,1035,1801,326,4,13.5,0.57,0.38,0.25,0.63,202.5
"31","Jamison Crowder","WR","NYJ",122,78,833,975,358,6,8,0.85,0.24,0.23,0.52,197.7
"32","Calvin Ridley","WR","ATL",93,63,866,1246,138,7,13.4,0.7,0.27,0.17,0.44,195
"33","Marvin Jones","WR","DET",91,62,779,1189,106,9,13.1,0.66,0.26,0.19,0.47,193.9
"34","Terry McLaurin","WR","WAS",93,58,919,1299,217,7,14,0.71,0.41,0.22,0.62,191.9
"35","D.K. Metcalf","WR","SEA",100,58,900,1296,273,7,13,0.69,0.26,0.19,0.47,191.1
"36","Austin Hooper","TE","ATL",97,75,787,634,335,6,6.5,1.24,0.15,0.18,0.37,189.7
"37","Deebo Samuel","WR","SF",81,57,802,607,473,3,7.5,1.32,0.2,0.18,0.41,189.1
"38","Tyreek Hill","WR","KC",89,58,860,1149,275,7,12.9,0.75,0.38,0.21,0.58,188.3
"39","Cole Beasley","WR","BUF",106,67,778,844,330,6,8,0.92,0.19,0.22,0.47,180.8
"40","Larry Fitzgerald","WR","ARI",109,75,804,856,343,4,7.9,0.94,0.21,0.2,0.44,179.4
"41","Curtis Samuel","WR","CAR",105,54,627,1608,153,6,15.3,0.39,0.3,0.17,0.46,171.7
"42","Darius Slayton","WR","NYG",84,48,740,1197,189,8,14.2,0.62,0.28,0.16,0.44,170
"43","Jared Cook","TE","NO",65,43,705,678,254,9,10.4,1.04,0.21,0.13,0.34,167.5
"44","Christian Kirk","WR","ARI",108,68,709,1079,286,3,10,0.66,0.31,0.23,0.56,166.2
"45","Mike Williams","WR","LAC",90,49,1001,1626,187,2,18.1,0.62,0.34,0.16,0.47,161.3
"46","Diontae Johnson","WR","PIT",92,59,680,843,305,5,9.2,0.81,0.21,0.18,0.42,161.1
"47","Tyler Higbee","TE","LA",89,69,734,585,396,3,6.6,1.25,0.14,0.15,0.33,160.4
"48","Robby Anderson","WR","NYJ",96,52,779,1402,193,5,14.6,0.56,0.34,0.18,0.52,160.3
"49","Randall Cobb","WR","DAL",83,55,828,865,329,3,10.4,0.96,0.16,0.15,0.34,156.9
"50","Chris Conley","WR","JAC",90,47,775,1276,252,5,14.2,0.61,0.29,0.15,0.43,154.5
"51","Golden Tate","WR","NYG",85,49,676,827,284,6,9.7,0.82,0.24,0.21,0.48,154.2
"52","Dede Westbrook","WR","JAC",101,66,660,666,317,3,6.6,0.99,0.17,0.19,0.4,152.7
"53","Hunter Henry","TE","LAC",76,55,652,793,164,5,10.4,0.82,0.21,0.17,0.41,150.2
"54","Dallas Goedert","TE","PHI",87,58,607,499,331,5,5.7,1.22,0.11,0.15,0.31,148.7
"55","Marquise Brown","WR","BAL",71,46,584,782,226,7,11,0.75,0.23,0.18,0.44,146.4
"56","Tyrell Williams","WR","OAK",64,42,651,870,190,6,13.6,0.75,0.32,0.15,0.45,143.1
"57","Jason Witten","TE","DAL",83,63,529,551,162,4,6.6,0.96,0.1,0.14,0.28,139.9
"58","Sterling Shepard","WR","NYG",83,57,576,822,179,3,9.9,0.7,0.26,0.22,0.51,139.8
"59","Sammy Watkins","WR","KC",90,52,673,882,297,3,9.8,0.76,0.22,0.19,0.44,138.5
"60","Breshad Perriman","WR","TB",69,36,645,1128,127,6,16.3,0.57,0.2,0.13,0.33,138.1
"61","Mike Gesicki","TE","MIA",89,51,570,910,162,5,10.2,0.63,0.17,0.15,0.35,138
"62","Danny Amendola","WR","DET",97,62,678,897,207,1,9.2,0.76,0.17,0.18,0.39,135.8
"63","James Washington","WR","PIT",80,44,735,1266,185,3,15.8,0.58,0.32,0.16,0.47,135.5
"64","Will Fuller","WR","HOU",71,49,670,1011,219,3,14.2,0.66,0.29,0.2,0.51,134
"65","Hunter Renfrow","WR","OAK",71,49,605,495,301,4,7,1.22,0.18,0.17,0.37,133.5
"66","Zach Pascal","WR","IND",72,41,607,800,235,5,11.1,0.76,0.19,0.14,0.35,133.3
"67","Anthony Miller","WR","CHI",85,52,656,887,217,2,10.4,0.74,0.2,0.15,0.36,129.5
"68","T.Y. Hilton","WR","IND",68,45,501,697,213,5,10.2,0.72,0.32,0.23,0.57,125.1
"69","Greg Olsen","TE","CAR",82,52,597,738,201,2,9,0.81,0.16,0.15,0.33,123.7
"70","Alshon Jeffery","WR","PHI",73,43,490,808,111,4,11.1,0.61,0.3,0.23,0.55,122.2
"71","Kenny Stills","WR","HOU",55,40,561,587,144,4,10.7,0.96,0.15,0.13,0.3,120.1
"72","Brandin Cooks","WR","LA",72,42,583,1004,169,2,13.9,0.58,0.23,0.13,0.35,117.5
"73","Mecole Hardman","WR","KC",41,26,538,459,292,6,11.2,1.17,0.09,0.07,0.17,117.5
"74","JuJu Smith-Schuster","WR","PIT",70,42,552,707,229,3,10.1,0.78,0.23,0.17,0.42,115.2
"75","Corey Davis","WR","TEN",69,43,601,828,241,2,12,0.73,0.23,0.16,0.4,115.1
"76","Adam Thielen","WR","MIN",48,30,418,586,117,6,12.2,0.71,0.24,0.17,0.42,114.4
"77","Noah Fant","TE","DEN",66,40,562,518,330,3,7.8,1.08,0.14,0.13,0.3,113
"78","Jack Doyle","TE","IND",72,43,448,491,216,4,6.8,0.91,0.12,0.14,0.29,111.8
"79","Kyle Rudolph","TE","MIN",48,39,367,308,190,6,6.4,1.19,0.09,0.11,0.22,111.7
"80","Darren Fells","TE","HOU",48,34,341,258,168,7,5.4,1.32,0.06,0.1,0.18,110.1
"81","Evan Engram","TE","NYG",68,44,467,397,252,3,5.8,1.18,0.17,0.22,0.44,109.4
"82","Jonnu Smith","TE","TEN",44,35,439,254,273,3,5.8,1.73,0.07,0.1,0.2,104.7
"83","Tyler Eifert","TE","CIN",63,43,436,555,124,3,8.8,0.79,0.12,0.1,0.23,104.6
"84","Emmanuel Sanders","WR","SF",53,36,502,603,119,3,11.4,0.83,0.29,0.17,0.46,104.2
"85","Auden Tate","WR","CIN",80,40,575,920,120,1,11.5,0.62,0.28,0.18,0.46,103.5
"86","Steven Sims","WR","WAS",56,34,310,388,172,4,6.9,0.8,0.1,0.12,0.25,103.5
"87","Allen Lazard","WR","GB",52,35,477,736,131,3,14.2,0.65,0.19,0.12,0.32,102.8
"88","Demarcus Robinson","WR","KC",55,32,449,724,111,4,13.2,0.62,0.16,0.1,0.26,100.9
"89","Phillip Dorsett","WR","NE",54,29,397,762,79,5,14.1,0.52,0.21,0.12,0.33,100.8
"90","Russell Gage","WR","ATL",74,49,446,525,151,1,7.1,0.85,0.11,0.12,0.26,100.8
"91","Jimmy Graham","TE","GB",60,38,447,536,243,3,8.9,0.83,0.11,0.1,0.23,100.7
"92","Alex Erickson","WR","CIN",78,43,529,656,264,0,8.4,0.81,0.14,0.13,0.29,99.2
"93","John Ross","WR","CIN",56,28,506,875,198,3,15.6,0.58,0.34,0.18,0.5,97
"94","Ryan Griffin","TE","NYJ",41,34,320,230,182,5,5.6,1.39,0.07,0.1,0.19,96
"95","Kendrick Bourne","WR","SF",44,30,358,370,122,5,8.4,0.97,0.11,0.09,0.22,95.8
"96","Willie Snead","WR","BAL",46,31,339,409,126,5,8.9,0.83,0.11,0.1,0.23,95.1
"97","Nelson Agholor","WR","PHI",69,39,363,775,126,3,11.2,0.47,0.21,0.17,0.41,94
"98","Preston Williams","WR","MIA",60,32,428,818,84,3,13.6,0.52,0.31,0.21,0.53,92.8
"99","Cameron Brate","TE","TB",55,36,311,376,90,4,6.8,0.83,0.07,0.1,0.2,91.1
"100","Taylor Gabriel","WR","CHI",48,29,353,556,79,4,11.6,0.63,0.22,0.15,0.37,90.3
