"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"1","DeAndre Hopkins","WR","HOU",163,115,1583,1995,384,11,12.2,0.79,0.45,0.32,0.8,338.6
"2","Davante Adams","WR","GB",168,110,1370,1904,472,13,11.3,0.72,0.36,0.28,0.68,325
"3","Julio Jones","WR","ATL",169,112,1655,2420,449,7,14.3,0.68,0.45,0.28,0.73,320.7
"4","Antonio Brown","WR","PIT",167,101,1273,1899,461,15,11.4,0.67,0.38,0.26,0.66,318.3
"5","Adam Thielen","WR","MIN",153,111,1370,1453,438,9,9.5,0.94,0.33,0.25,0.61,304.2
"6","Michael Thomas","WR","NO",146,123,1320,1135,470,8,7.8,1.16,0.3,0.29,0.64,303
"7","Travis Kelce","TE","KC",148,101,1330,1401,552,10,9.5,0.95,0.28,0.26,0.58,294
"8","Tyreek Hill","WR","KC",132,82,1336,1898,520,10,14.4,0.7,0.37,0.23,0.61,294
"9","JuJu Smith-Schuster","WR","PIT",165,110,1375,1394,672,7,8.4,0.99,0.26,0.24,0.55,290.8
"10","Zach Ertz","TE","PHI",155,115,1153,1122,351,8,7.2,1.03,0.25,0.26,0.57,278.3
"11","Mike Evans","WR","TB",135,83,1391,2121,239,8,15.7,0.66,0.33,0.22,0.56,270.1
"12","Stefon Diggs","WR","MIN",148,102,1021,1266,453,9,8.6,0.81,0.3,0.26,0.59,264.3
"13","Robert Woods","WR","LA",129,84,1198,1462,416,6,11.3,0.82,0.3,0.23,0.56,259.6
"14","George Kittle","TE","SF",135,88,1377,960,873,5,7.1,1.43,0.26,0.26,0.57,256.7
"15","Keenan Allen","WR","LAC",137,96,1188,1183,408,5,8.6,1,0.33,0.29,0.67,252.3
"16","Brandin Cooks","WR","LA",116,80,1191,1469,357,5,12.7,0.81,0.32,0.22,0.55,240.2
"17","T.Y. Hilton","WR","IND",118,74,1248,1310,459,5,11.1,0.95,0.34,0.22,0.57,228.8
"18","Tyler Boyd","WR","CIN",108,76,1028,1087,426,7,10.1,0.95,0.27,0.22,0.52,221.1
"19","Odell Beckham","WR","NYG",123,76,1047,1515,283,6,12.3,0.69,0.42,0.28,0.72,218.6
"20","Tyler Lockett","WR","SEA",67,55,970,910,227,10,13.6,1.07,0.24,0.16,0.4,217.1
"21","Eric Ebron","TE","IND",108,65,738,1020,250,12,9.4,0.72,0.21,0.17,0.41,216
"22","Jarvis Landry","WR","CLE",145,80,958,1729,233,4,11.9,0.55,0.31,0.26,0.6,211.8
"23","Kenny Golladay","WR","DET",119,71,1070,1530,355,5,12.9,0.7,0.4,0.22,0.61,208.8
"24","Calvin Ridley","WR","ATL",90,63,816,931,357,10,10.3,0.88,0.17,0.15,0.34,207.3
"25","Julian Edelman","WR","NE",107,73,834,828,346,6,7.7,1.01,0.24,0.25,0.53,201.1
"26","Jared Cook","TE","OAK",101,69,900,840,344,7,8.3,1.07,0.22,0.18,0.43,201
"27","Chris Godwin","WR","TB",95,59,842,1134,257,7,11.9,0.74,0.17,0.16,0.36,185.2
"28","Adam Humphries","WR","TB",102,74,795,682,399,5,6.7,1.17,0.11,0.17,0.32,184.6
"29","Corey Davis","WR","TEN",113,65,891,1160,267,4,10.3,0.77,0.34,0.26,0.63,183.6
"30","Emmanuel Sanders","WR","DEN",94,68,808,882,312,4,9.4,0.92,0.28,0.23,0.54,183.5
"31","Alshon Jeffery","WR","PHI",90,63,817,1002,262,6,11.1,0.82,0.29,0.19,0.49,180.7
"32","Sterling Shepard","WR","NYG",106,65,862,1107,302,4,10.4,0.78,0.24,0.18,0.44,178.5
"33","Mike Williams","WR","LAC",66,43,664,964,118,10,14.6,0.69,0.24,0.13,0.37,177.9
"34","Mohamed Sanu","WR","ATL",93,65,830,783,393,4,8.4,1.06,0.15,0.15,0.33,176.4
"35","Larry Fitzgerald","WR","ARI",110,67,689,1024,201,6,9.3,0.67,0.26,0.22,0.52,171.9
"36","Dede Westbrook","WR","JAC",99,64,668,838,337,5,8.5,0.8,0.23,0.19,0.44,170.6
"37","Nelson Agholor","WR","PHI",96,63,736,953,341,4,9.9,0.77,0.22,0.16,0.4,163.8
"38","D.J. Moore","WR","CAR",83,55,788,810,416,2,9.8,0.97,0.19,0.15,0.36,163
"39","Amari Cooper","WR","DAL",75,52,719,732,311,6,9.8,0.98,0.32,0.24,0.58,161
"40","Austin Hooper","TE","ATL",88,71,660,603,232,4,6.9,1.09,0.11,0.14,0.3,161
"41","Robby Anderson","WR","NYJ",91,49,736,1431,177,6,15.7,0.51,0.34,0.2,0.54,157.8
"42","Allen Robinson","WR","CHI",93,54,741,1124,216,4,12.1,0.66,0.29,0.22,0.53,153
"43","Taylor Gabriel","WR","CHI",91,66,689,1049,236,2,11.5,0.66,0.23,0.18,0.43,153
"44","Zay Jones","WR","BUF",100,54,621,1256,133,6,12.6,0.49,0.25,0.21,0.48,152.1
"45","Kyle Rudolph","TE","MIN",81,64,634,544,252,4,6.7,1.17,0.13,0.13,0.29,151.4
"46","A.J. Green","WR","CIN",76,45,683,949,161,6,12.5,0.72,0.37,0.23,0.61,149.3
"47","Trey Burton","TE","CHI",78,55,577,604,222,6,7.7,0.96,0.13,0.15,0.32,148.9
