"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"1","Demaryius Thomas","WR","DEN",142,92,1430,1385,707,14,9.8,1.03,0.27,0.21,0.5,319
"2","Josh Gordon","WR","CLE",159,87,1646,2133,675,9,13.4,0.77,0.44,0.27,0.71,314.4
"3","A.J. Green","WR","CIN",178,98,1426,2232,390,11,12.5,0.64,0.45,0.3,0.77,306.6
"4","Jimmy Graham","TE","NO",142,86,1215,1366,406,16,9.6,0.89,0.27,0.22,0.52,303.5
"5","Brandon Marshall","WR","CHI",164,100,1295,2000,279,12,12.2,0.65,0.4,0.28,0.7,301.5
"6","Antonio Brown","WR","PIT",165,109,1438,1785,559,8,10.8,0.81,0.37,0.29,0.69,301.2
"7","Dez Bryant","WR","DAL",159,93,1249,1835,550,13,11.5,0.68,0.4,0.27,0.69,296
"8","Alshon Jeffery","WR","CHI",149,89,1421,1824,411,7,12.2,0.78,0.36,0.26,0.64,283.6
"9","Eric Decker","WR","DEN",136,87,1288,1543,387,11,11.3,0.83,0.3,0.2,0.51,281.8
"10","Pierre Garcon","WR","WAS",182,113,1345,1697,649,5,9.3,0.79,0.33,0.3,0.68,279.4
"11","DeSean Jackson","WR","PHI",126,82,1332,1656,528,9,13.1,0.8,0.33,0.25,0.61,269.4
"12","Jordy Nelson","WR","GB",127,85,1314,1354,420,8,10.7,0.97,0.31,0.22,0.55,264.4
"13","Julian Edelman","WR","NE",151,105,1056,1231,485,6,8.2,0.86,0.23,0.24,0.52,247.7
"14","Larry Fitzgerald","WR","ARI",135,82,954,1383,333,10,10.2,0.69,0.25,0.24,0.53,238.2
"15","Keenan Allen","WR","SD",104,71,1046,1084,398,8,10.4,0.96,0.27,0.2,0.49,223.6
"16","T.Y. Hilton","WR","IND",139,83,1086,1622,394,5,11.7,0.67,0.34,0.24,0.6,221.9
"17","Julius Thomas","TE","DEN",90,65,788,596,403,12,6.6,1.32,0.13,0.15,0.31,215.8
"18","Vernon Davis","TE","SF",84,52,850,1129,264,13,13.4,0.75,0.3,0.22,0.54,215
"19","Kendall Wright","WR","TEN",139,94,1079,1098,548,2,7.9,0.98,0.23,0.26,0.55,213.9
"20","Jason Witten","TE","DAL",111,73,851,896,327,8,8.1,0.95,0.2,0.19,0.42,206.1
"21","Harry Douglas","WR","ATL",132,85,1067,1132,507,2,8.6,0.94,0.25,0.2,0.48,203.7
"22","Torrey Smith","WR","BAL",137,65,1128,2122,359,4,15.5,0.53,0.37,0.22,0.59,201.8
"23","Michael Floyd","WR","ARI",113,66,1054,1544,282,5,13.7,0.68,0.28,0.2,0.49,201.4
"24","Mike Wallace","WR","MIA",140,73,930,2102,283,5,15,0.44,0.38,0.24,0.63,199.3
"25","Greg Olsen","TE","CAR",111,73,816,986,328,6,8.9,0.83,0.23,0.23,0.51,190.6
"26","Marvin Jones","WR","CIN",80,51,712,838,243,10,10.5,0.85,0.17,0.14,0.32,188.7
"27","Antonio Gates","TE","SD",113,77,872,756,398,4,6.7,1.15,0.18,0.21,0.44,188.2
"28","Golden Tate","WR","SEA",99,64,898,1078,471,5,10.9,0.83,0.27,0.24,0.54,186.9
"29","Charles Clay","TE","MIA",99,67,737,663,356,5,6.7,1.11,0.12,0.17,0.34,178.2
"30","Emmanuel Sanders","WR","PIT",108,65,701,1164,301,6,10.8,0.6,0.24,0.19,0.45,173.6
"31","Martellus Bennett","TE","CHI",94,65,759,662,369,5,7,1.15,0.13,0.16,0.34,170.9
"32","Doug Baldwin","WR","SEA",73,50,778,844,219,5,11.6,0.92,0.21,0.17,0.41,158.4
"33","Delanie Walker","TE","TEN",86,60,571,734,173,6,8.5,0.78,0.16,0.17,0.37,153.1
"34","Cordarrelle Patterson","WR","MIN",77,45,469,594,277,4,7.7,0.79,0.13,0.14,0.3,149.7
"35","Jared Cook","TE","STL",85,51,671,785,260,5,9.2,0.85,0.2,0.17,0.39,148.1
"36","Terrance Williams","WR","DAL",74,44,736,997,204,5,13.5,0.74,0.23,0.13,0.36,148
"37","DeAndre Hopkins","WR","HOU",91,52,802,1239,178,2,13.6,0.65,0.24,0.14,0.38,144.2
"38","Brandon LaFell","WR","CAR",85,49,627,992,257,5,11.7,0.63,0.24,0.19,0.45,143.2
"39","Coby Fleener","TE","IND",87,52,608,764,256,4,8.8,0.8,0.16,0.15,0.34,136.8
"40","Danny Amendola","WR","NE",83,54,633,667,249,2,8,0.95,0.17,0.17,0.38,129.4
"41","Kenny Stills","WR","NO",50,32,641,789,197,5,15.8,0.81,0.15,0.08,0.22,127.1
