"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"141","Lance Kendricks","TE","GB",35,18,203,285,89,1,8.1,0.71,0.08,0.07,0.16,44.3
"142","Kelvin Benjamin","WR","BUF",27,16,217,299,38,1,11.1,0.73,0.18,0.15,0.35,43.7
"143","Andre Holmes","WR","BUF",23,13,120,335,11,3,14.6,0.36,0.13,0.07,0.2,43
"144","Adam Shaheen","TE","CHI",14,12,127,101,49,3,7.2,1.26,0.06,0.06,0.13,42.7
"145","Demarcus Robinson","WR","KC",39,21,212,407,47,0,10.4,0.52,0.14,0.11,0.27,42.2
"146","Greg Olsen","TE","CAR",38,17,191,401,48,1,10.6,0.48,0.22,0.19,0.43,42.1
"147","Kendrick Bourne","WR","SF",34,16,257,397,114,0,11.7,0.65,0.14,0.09,0.24,41.7
"148","De'Anthony Thomas","WR","KC",16,14,143,121,73,2,7.6,1.18,0.03,0.03,0.07,40.7
"149","Laquon Treadwell","WR","MIN",35,20,200,423,58,0,12.1,0.47,0.13,0.08,0.21,40
"150","Virgil Green","TE","DEN",22,14,191,202,92,1,9.2,0.95,0.06,0.06,0.12,39.1
"151","Dion Sims","TE","CHI",29,15,180,267,67,1,9.2,0.67,0.1,0.08,0.18,39
"152","Eli Rogers","WR","PIT",36,18,149,284,78,1,7.9,0.52,0.07,0.08,0.18,38.9
"153","Vance McDonald","TE","PIT",24,14,188,199,88,1,8.3,0.94,0.06,0.07,0.14,38.8
"154","Alex Erickson","WR","CIN",16,12,180,212,39,1,13.2,0.85,0.05,0.03,0.08,37.6
"155","Jeff Heuerman","TE","DEN",18,9,142,170,63,2,9.4,0.84,0.06,0.05,0.12,35.2
"156","James O'Shaughnessy","TE","JAC",24,14,149,134,91,1,5.6,1.11,0.03,0.05,0.09,34.9
"157","Ryan Griffin","TE","HOU",26,13,158,255,77,1,9.8,0.62,0.12,0.13,0.28,34.8
"158","Richard Rodgers","TE","GB",19,12,160,138,89,1,7.3,1.16,0.06,0.06,0.12,34
"159","Damiere Byrd","WR","CAR",17,10,105,146,61,2,8.6,0.72,0.08,0.07,0.17,33.7
"160","Josh Hill","TE","NO",22,16,125,80,88,1,3.6,1.56,0.03,0.06,0.1,33.7
"161","Brandon Marshall","WR","NYG",33,18,154,339,39,0,10.3,0.45,0.22,0.16,0.4,33.4
"162","Curtis Samuel","WR","CAR",26,15,115,278,41,0,10.7,0.41,0.12,0.09,0.23,32.9
"163","Phillip Dorsett","WR","NE",18,12,194,365,91,0,20.3,0.53,0.1,0.05,0.14,32.1
"164","Nick Vannett","TE","SEA",15,12,124,108,45,1,7.2,1.15,0.03,0.05,0.09,30.4
"165","Maxx Williams","TE","BAL",18,15,86,-1,100,1,-0.1,-86,0,0.05,0.07,30.2
"166","Levine Toilolo","TE","ATL",14,12,122,87,63,1,6.2,1.4,0.03,0.04,0.09,30.2
"167","Deonte Thompson","WR","CHI",18,11,125,195,20,1,10.8,0.64,0.19,0.11,0.29,29.5
"168","Tommylee Lewis","WR","NO",15,10,116,152,52,1,10.1,0.76,0.05,0.03,0.08,29
"169","Chris Conley","WR","KC",16,11,175,231,45,0,14.4,0.76,0.2,0.1,0.29,28.5
"170","Josh Reynolds","WR","LA",24,11,104,180,34,1,7.5,0.58,0.07,0.07,0.16,27.4
"171","Jordan Taylor","WR","DEN",20,13,142,224,45,0,11.2,0.63,0.07,0.06,0.14,27.2
"172","Eric Tomlinson","TE","NYJ",11,8,121,66,68,1,6,1.83,0.03,0.04,0.08,26.1
"173","Daniel Brown","TE","CHI",20,13,129,172,46,0,8.6,0.75,0.07,0.06,0.14,25.9
"174","Jaydon Mickens","WR","JAC",11,6,77,100,39,2,9.1,0.77,0.03,0.03,0.07,25.7
"175","David Morgan","TE","MIN",12,10,95,77,57,1,6.4,1.23,0.04,0.04,0.09,25.5
"176","C.J. Uzomah","TE","CIN",15,10,92,81,50,1,5.4,1.14,0.03,0.04,0.08,25.2
"177","Dwayne Allen","TE","NE",22,10,86,157,64,1,7.1,0.55,0.04,0.05,0.1,24.6
"178","Niles Paul","TE","WAS",20,13,94,123,31,0,6.2,0.76,0.04,0.06,0.11,22.8
"179","Mike Williams","WR","LAC",23,11,95,264,11,0,11.5,0.36,0.1,0.07,0.18,20.5
"180","Pharoh Cooper","WR","LA",19,11,84,138,54,0,7.3,0.61,0.03,0.04,0.08,20
"181","Logan Thomas","TE","BUF",9,7,67,63,11,1,7,1.06,0.04,0.05,0.11,19.7
"182","Josh Malone","WR","CIN",17,6,63,272,19,1,16,0.23,0.11,0.06,0.17,18.5
"183","Chad Hansen","WR","NYJ",16,9,94,190,22,0,11.9,0.49,0.08,0.06,0.14,18.4
"184","Michael Hoomanawanui","TE","NO",10,6,52,71,27,1,7.1,0.73,0.04,0.03,0.07,17.2
"185","Willie Snead","WR","NO",16,8,92,107,32,0,6.7,0.86,0.07,0.06,0.14,17.2
"186","ArDarius Stewart","WR","NYJ",13,6,82,112,19,0,8.6,0.73,0.04,0.03,0.08,16.9
"187","Tanner McEvoy","WR","SEA",10,5,113,210,19,0,21,0.54,0.06,0.03,0.08,16.3
"188","Maurice Harris","WR","WAS",6,4,62,62,8,1,10.3,1,0.07,0.04,0.11,16.2
"189","Darrius Heyward-Bey","WR","PIT",3,2,47,50,21,0,16.7,0.94,0.02,0.01,0.03,15.9
"190","Lee Smith","TE","OAK",11,8,76,107,32,0,9.7,0.71,0.04,0.03,0.07,15.6
"191","Derek Carrier","TE","LA",11,8,71,31,50,0,2.8,2.29,0.02,0.04,0.08,15.1
"192","Freddie Martino","WR","TB",6,5,96,86,15,0,14.3,1.12,0.03,0.02,0.06,14.6
"193","Mike Thomas","WR","LA",7,5,93,103,29,0,14.7,0.9,0.08,0.04,0.11,14.3
"194","Neal Sterling","TE","NYJ",11,6,82,96,42,0,8.7,0.85,0.06,0.06,0.13,14.2
"195","Xavier Grimble","TE","PIT",9,5,32,69,16,1,7.7,0.46,0.03,0.03,0.06,14.2
"196","Marvin Hall","WR","ATL",9,2,60,144,0,1,16,0.42,0.09,0.05,0.14,14
"197","Kaelin Clay","WR","CAR",15,5,57,253,17,0,16.9,0.23,0.11,0.06,0.16,13.4
"198","Trevor Davis","WR","GB",7,5,70,69,34,0,9.9,1.01,0.02,0.01,0.03,13.3
"199","Sammie Coates","WR","CLE",11,6,70,146,16,0,13.3,0.48,0.07,0.04,0.11,13
"200","Justin Hunter","WR","PIT",10,4,23,124,14,1,12.4,0.19,0.08,0.05,0.13,12.3
"201","Alan Cross","TE","TB",6,5,58,41,25,0,6.8,1.41,0.02,0.03,0.06,10.8
"202","Luke Stocker","TE","TB",3,3,18,4,14,1,1.3,4.5,0.01,0.04,0.07,10.8
"203","Ryan Switzer","WR","DAL",7,6,41,33,18,0,4.7,1.24,0.01,0.01,0.03,10.6
"204","Marcus Johnson","WR","PHI",8,5,45,148,7,0,18.5,0.3,0.09,0.04,0.13,9.5
"205","Chad Williams","WR","ARI",7,3,31,80,6,0,11.4,0.39,0.04,0.03,0.07,9.4
"206","Jeremy Sprinkle","TE","WAS",3,2,13,20,3,1,6.7,0.65,0.02,0.03,0.06,9.3
"207","Ross Travis","TE","KC",12,5,43,120,16,0,10,0.36,0.05,0.04,0.1,9.3
"208","Ben Koyack","TE","JAC",7,5,38,29,14,0,4.1,1.31,0.02,0.03,0.06,8.8
"209","Michael Roberts","TE","DET",7,4,46,48,12,0,6.9,0.96,0.03,0.03,0.07,8.6
"210","Tyler Eifert","TE","CIN",5,4,46,47,11,0,9.4,0.98,0.08,0.08,0.17,8.6
"211","Markus Wheaton","WR","CHI",17,3,46,244,-2,0,14.4,0.19,0.15,0.07,0.21,7.6
"212","Isaiah McKenzie","WR","DEN",13,4,29,203,10,0,15.6,0.14,0.06,0.03,0.09,7.3
"213","Noah Brown","WR","DAL",9,4,33,59,22,0,6.6,0.56,0.04,0.05,0.1,7.3
"214","Orson Charles","TE","KC",2,2,53,44,9,0,22,1.2,0.06,0.02,0.07,7.3
"215","Darrell Daniels","TE","IND",13,3,26,95,16,0,7.3,0.27,0.05,0.06,0.13,5.6
"216","Ross Travis","TE","IND",5,2,33,82,18,0,16.4,0.4,0.14,0.06,0.18,5.3
"217","Antony Auclair","TE","TB",2,2,25,5,20,0,2.5,5,0,0.02,0.03,4.5
"218","Geoff Swaim","TE","DAL",2,2,25,14,11,0,7,1.79,0.02,0.02,0.04,4.5
"219","Ryan Hewitt","TE","CIN",2,2,22,14,8,0,7,1.57,0.01,0.01,0.03,4.2
"220","A.J. Derby","TE","MIA",9,2,20,95,18,0,10.6,0.21,0.14,0.11,0.26,4
"221","Kaelin Clay","WR","BUF",5,1,28,122,3,0,24.4,0.23,0.15,0.05,0.17,3.8
"222","Chris Manhertz","TE","CAR",4,2,17,25,9,0,6.2,0.68,0.02,0.03,0.05,3.7
"223","MarQueis Gray","TE","MIA",3,1,10,20,9,0,6.7,0.5,0.01,0.01,0.02,3.4
"224","Shelton Gibson","WR","PHI",3,2,11,23,-3,0,7.7,0.48,0.04,0.04,0.08,3.1
"225","Allen Robinson","WR","JAC",1,1,17,15,2,0,15,1.13,0.09,0.05,0.13,2.7
"226","Kevin White","WR","CHI",4,2,6,12,2,0,3,0.5,0.07,0.1,0.2,2.6
"227","Andre Roberts","WR","ATL",4,1,12,20,7,0,5,0.6,0,0.01,0.01,2.2
"228","Luke Stocker","TE","TEN",2,1,12,9,8,0,4.5,1.33,0.01,0.02,0.04,2.2
"229","Charone Peake","WR","NYJ",1,1,3,2,1,0,2,1.5,0.01,0.04,0.07,1.3
"230","Ryan Malleck","TE","HOU",1,1,3,1,2,0,1,3,0.01,0.06,0.09,1.3
"231","John Ross","WR","CIN",2,0,0,46,0,0,23,0,0.05,0.02,0.07,1.2
"232","Matt Hazel","WR","IND",1,1,1,1,2,0,1,1,0,0.02,0.04,1.1
"233","Andy Jones","WR","DET",0,0,0,0,0,0,NA,NA,0,0,0,0
"234","Ben Braunecker","TE","CHI",0,0,0,0,0,0,NA,NA,0,0,0,0
"235","Cody Core","WR","CIN",4,0,0,132,0,0,33,0,0.06,0.02,0.07,0
"236","Dwayne Harris","WR","NYG",0,0,0,0,0,0,NA,NA,0,0,0,0
"237","Eric Saubert","TE","ATL",0,0,0,0,0,0,NA,NA,0,0,0,0
"238","Gabe Holmes","TE","ARI",1,0,0,15,0,0,15,0,0.05,0.02,0.07,0
"239","Krishawn Hogan","WR","IND",0,0,0,0,0,0,NA,NA,0,0,0,0
"240","Logan Paulsen","TE","SF",2,0,0,22,0,0,11,0,0.02,0.02,0.04,0
"241","Matt LaCosse","TE","NYG",1,0,0,2,0,0,2,0,0.03,0.05,0.1,0
"242","Matthew Slater","WR","NE",0,0,0,0,0,0,NA,NA,0,0,0,0
"243","Stacy Coley","WR","MIN",1,0,0,6,0,0,6,0,0.01,0.01,0.03,0
"244","Victor Bolden","WR","SF",0,0,0,0,0,0,NA,NA,0,0,0,0
