"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"1","DeAndre Hopkins","WR","HOU",174,96,1378,2243,359,13,12.9,0.61,0.45,0.35,0.84,311.8
"2","Antonio Brown","WR","PIT",162,101,1533,2176,481,9,13.4,0.7,0.45,0.3,0.77,308.3
"3","Keenan Allen","WR","LAC",159,102,1393,1479,501,6,9.3,0.94,0.31,0.27,0.63,278.2
"4","Jarvis Landry","WR","MIA",161,112,987,1023,498,9,6.4,0.96,0.21,0.27,0.55,264
"5","Larry Fitzgerald","WR","ARI",161,109,1156,1354,408,6,8.4,0.85,0.23,0.27,0.56,260.6
"6","Michael Thomas","WR","NO",149,104,1245,1424,425,5,9.6,0.87,0.42,0.28,0.71,258.5
"7","Julio Jones","WR","ATL",148,88,1444,2105,486,3,14.2,0.69,0.44,0.28,0.73,251.9
"8","Adam Thielen","WR","MIN",144,91,1277,1506,454,4,10.5,0.85,0.38,0.27,0.67,243.8
"9","Tyreek Hill","WR","KC",105,75,1183,1227,451,7,11.7,0.96,0.3,0.21,0.52,241.2
"10","Travis Kelce","TE","KC",122,83,1038,1277,406,8,10.5,0.81,0.31,0.24,0.58,235.5
"11","A.J. Green","WR","CIN",143,75,1078,1910,297,8,13.4,0.56,0.46,0.28,0.74,230.8
"12","Rob Gronkowski","TE","NE",106,69,1083,1284,344,8,12.1,0.84,0.3,0.23,0.55,225.3
"13","Marvin Jones","WR","DET",107,61,1101,1624,195,9,15.2,0.68,0.36,0.19,0.53,225.1
"14","Golden Tate","WR","DET",120,92,1003,716,613,5,6,1.4,0.16,0.21,0.43,224.5
"15","Davante Adams","WR","GB",118,74,885,1153,338,10,9.8,0.77,0.34,0.24,0.6,222.5
"16","Doug Baldwin","WR","SEA",116,75,991,1476,274,8,12.7,0.67,0.27,0.21,0.5,221.3
"17","Brandin Cooks","WR","NE",114,65,1082,1759,227,7,15.4,0.62,0.33,0.19,0.52,219.2
"18","Demaryius Thomas","WR","DEN",140,83,949,1475,299,5,10.5,0.64,0.31,0.25,0.59,207.9
"19","Zach Ertz","TE","PHI",110,74,824,862,243,8,7.8,0.96,0.19,0.23,0.47,204.4
"20","Mike Evans","WR","TB",136,71,1001,1905,134,5,14,0.53,0.33,0.24,0.59,201.1
"21","Robby Anderson","WR","NYJ",114,63,941,1487,273,7,13,0.63,0.38,0.22,0.6,200
"22","Stefon Diggs","WR","MIN",94,63,847,1077,299,8,11.5,0.79,0.31,0.21,0.52,197
"23","Devin Funchess","WR","CAR",112,63,840,1423,296,8,12.7,0.59,0.34,0.22,0.57,195
"24","JuJu Smith-Schuster","WR","PIT",79,58,917,811,430,7,10.3,1.13,0.18,0.16,0.37,191.7
"25","Alshon Jeffery","WR","PHI",120,57,789,1681,202,9,14,0.47,0.32,0.21,0.54,189.9
"26","Nelson Agholor","WR","PHI",95,62,768,986,301,8,10.4,0.78,0.19,0.17,0.38,187.5
"27","Cooper Kupp","WR","LA",94,62,869,813,364,5,8.6,1.07,0.21,0.19,0.44,178.9
"28","Kenny Stills","WR","MIA",105,58,847,1574,159,6,15,0.54,0.32,0.17,0.49,178.7
"29","Delanie Walker","TE","TEN",111,74,807,1075,245,3,9.7,0.75,0.24,0.22,0.51,178.5
"30","T.Y. Hilton","WR","IND",109,57,966,1400,304,4,12.8,0.69,0.38,0.22,0.6,177.6
"31","Jermaine Kearse","WR","NYJ",102,65,810,968,295,5,9.5,0.84,0.25,0.2,0.47,176
"32","Evan Engram","TE","NYG",115,64,722,1015,306,6,8.8,0.71,0.24,0.2,0.47,173.6
"33","Jack Doyle","TE","IND",108,80,690,530,337,4,4.9,1.3,0.16,0.24,0.47,173
"34","Marquise Goodwin","WR","SF",105,56,962,1547,200,2,14.7,0.62,0.32,0.17,0.48,168.6
"35","Mohamed Sanu","WR","ATL",96,67,703,797,245,5,8.3,0.88,0.18,0.19,0.41,168.3
"36","Michael Crabtree","WR","OAK",101,58,618,1059,190,8,10.5,0.58,0.28,0.22,0.52,167.8
"37","Jimmy Graham","TE","SEA",94,56,514,712,211,10,7.6,0.72,0.13,0.17,0.35,167.4
"38","Jamison Crowder","WR","WAS",103,66,789,729,370,3,7.1,1.08,0.19,0.2,0.43,166.3
"39","Robert Woods","WR","LA",85,56,781,866,304,5,10.2,0.9,0.28,0.22,0.53,165.3
"40","Ted Ginn","WR","NO",70,53,787,844,302,4,12.1,0.93,0.26,0.14,0.39,159.6
"41","Amari Cooper","WR","OAK",96,48,680,1109,293,7,11.6,0.61,0.27,0.2,0.49,158.4
"42","Kyle Rudolph","TE","MIN",81,57,532,614,224,8,7.6,0.87,0.15,0.15,0.34,158.2
"43","Randall Cobb","WR","GB",92,66,653,592,412,4,6.4,1.1,0.16,0.18,0.39,157
"44","Rishard Matthews","WR","TEN",87,53,795,1023,277,4,11.8,0.78,0.26,0.19,0.47,156.2
"45","Mike Wallace","WR","BAL",93,52,748,1254,157,4,13.5,0.6,0.34,0.17,0.49,151.2
"46","Paul Richardson","WR","SEA",80,44,703,1200,135,6,15,0.59,0.22,0.14,0.37,150.3
"47","Sammy Watkins","WR","LA",70,39,593,1009,185,8,14.4,0.59,0.26,0.14,0.4,146.3
"48","Marqise Lee","WR","JAC",96,56,702,1121,289,3,11.7,0.63,0.35,0.23,0.59,145.9
"49","Sterling Shepard","WR","NYG",84,59,731,781,295,2,9.3,0.94,0.23,0.18,0.44,144.5
"50","Cameron Brate","TE","TB",77,48,589,715,141,6,9.3,0.82,0.12,0.13,0.27,142.9
"51","Tyrell Williams","WR","LAC",69,43,728,988,320,4,14.3,0.74,0.21,0.12,0.32,139.8
"52","Danny Amendola","WR","NE",85,61,659,726,210,2,8.5,0.91,0.14,0.16,0.33,138.9
"53","DeSean Jackson","WR","TB",90,50,668,1451,191,3,16.1,0.46,0.28,0.17,0.45,138.6
"54","Benjamin Watson","TE","BAL",79,61,522,489,266,4,6.2,1.07,0.13,0.14,0.3,137.2
"55","Jordy Nelson","WR","GB",88,53,482,964,128,6,11,0.5,0.27,0.18,0.46,137.2
"56","Keelan Cole","WR","JAC",83,42,748,997,299,3,12,0.75,0.24,0.16,0.4,134.8
"57","Jared Cook","TE","OAK",86,54,687,781,240,2,9.1,0.88,0.17,0.15,0.35,134.7
"58","Eric Ebron","TE","DET",86,53,574,638,258,4,7.4,0.9,0.14,0.15,0.32,134.4
"59","Adam Humphries","WR","TB",83,61,631,632,307,1,7.6,1,0.1,0.14,0.28,130.7
"60","DeVante Parker","WR","MIA",96,57,670,1206,207,1,12.6,0.56,0.3,0.2,0.5,130
"61","Hunter Henry","TE","LAC",62,45,579,576,221,4,9.3,1.01,0.17,0.14,0.33,126.9
"62","Ryan Grant","WR","WAS",65,45,573,631,235,4,9.7,0.91,0.15,0.12,0.29,126.3
"63","Vernon Davis","TE","WAS",68,43,648,735,306,3,10.8,0.88,0.18,0.13,0.31,125.8
"64","Brandon LaFell","WR","CIN",89,52,548,766,239,3,8.6,0.72,0.18,0.17,0.39,124.8
"65","Tyler Kroft","TE","CIN",62,42,404,482,193,7,7.8,0.84,0.13,0.13,0.28,124.4
"66","Travis Benjamin","WR","LAC",65,34,567,1012,210,4,15.6,0.56,0.21,0.11,0.32,124.3
"67","Josh Doctson","WR","WAS",78,35,502,1074,131,6,13.8,0.47,0.28,0.16,0.43,119.8
"68","Austin Hooper","TE","ATL",65,49,526,440,262,3,6.8,1.2,0.09,0.12,0.25,119.6
"69","Tyler Lockett","WR","SEA",71,45,555,922,188,2,13,0.6,0.17,0.13,0.31,118.3
"70","Charles Clay","TE","BUF",74,49,558,510,270,2,6.9,1.09,0.16,0.2,0.41,116.8
"71","Albert Wilson","WR","KC",62,42,554,395,318,3,6.4,1.4,0.12,0.14,0.3,116
"72","Emmanuel Sanders","WR","DEN",92,47,555,981,168,2,10.7,0.57,0.26,0.22,0.51,114.5
"73","Will Fuller","WR","HOU",50,28,423,794,99,7,15.9,0.53,0.24,0.16,0.4,113.2
"74","Terrance Williams","WR","DAL",78,53,568,663,243,0,8.5,0.86,0.17,0.16,0.36,111.3
"75","Chris Hogan","WR","NE",59,34,439,780,171,5,13.2,0.56,0.24,0.17,0.42,109.6
"76","George Kittle","TE","SF",63,43,515,456,271,2,7.2,1.13,0.1,0.11,0.23,106.5
"77","O.J. Howard","TE","TB",39,26,432,462,152,6,11.8,0.94,0.09,0.08,0.18,105.2
"78","Austin Seferian-Jenkins","TE","NYJ",74,50,357,448,124,3,6.1,0.8,0.14,0.18,0.37,103.7
"79","Jaron Brown","WR","ARI",69,31,477,1053,91,4,15.3,0.45,0.18,0.12,0.3,102.7
"80","Allen Hurns","WR","JAC",56,39,484,560,175,2,10,0.86,0.21,0.17,0.41,99.4
"81","Jesse James","TE","PIT",64,43,372,404,187,3,6.3,0.92,0.09,0.12,0.24,98.2
"82","Trent Taylor","WR","SF",60,43,430,426,190,2,7.1,1.01,0.09,0.1,0.22,98
"83","J.J. Nelson","WR","ARI",61,29,504,1051,55,2,17.2,0.48,0.18,0.1,0.28,95.1
"84","David Njoku","TE","CLE",60,32,386,635,151,4,10.6,0.61,0.12,0.1,0.24,94.7
"85","Kenny Golladay","WR","DET",48,28,477,711,181,3,14.8,0.67,0.23,0.13,0.35,94.6
"86","Seth Roberts","WR","OAK",65,43,455,640,104,1,9.8,0.71,0.15,0.13,0.3,94.5
"87","Chris Godwin","WR","TB",55,34,525,725,169,1,13.2,0.72,0.12,0.1,0.23,92.5
"88","Kelvin Benjamin","WR","CAR",51,32,475,604,101,2,11.8,0.79,0.27,0.19,0.47,91.5
"89","Cole Beasley","WR","DAL",63,36,314,392,125,4,6.2,0.8,0.11,0.14,0.28,91.4
"90","Torrey Smith","WR","PHI",68,36,430,877,135,2,12.9,0.49,0.17,0.12,0.3,90.7
"91","Pierre Garcon","WR","SF",66,40,500,639,190,0,9.7,0.78,0.27,0.21,0.5,90
"92","Cordarrelle Patterson","WR","OAK",42,31,309,257,184,0,6.1,1.2,0.06,0.08,0.15,86
"93","Marcedes Lewis","TE","JAC",48,24,318,384,163,5,8,0.83,0.09,0.09,0.2,85.8
"94","Taylor Gabriel","WR","ATL",51,33,378,559,217,1,11,0.68,0.12,0.1,0.23,81.7
"95","Antonio Gates","TE","LAC",52,30,316,432,66,3,8.3,0.73,0.09,0.09,0.2,79.6
"96","Garrett Celek","TE","SF",33,21,336,292,172,4,8.8,1.15,0.07,0.06,0.14,78.6
"97","Seth DeValve","TE","CLE",58,33,395,501,171,1,8.6,0.79,0.1,0.1,0.22,78.5
"98","Trey Burton","TE","PHI",31,23,248,308,35,5,9.9,0.81,0.07,0.07,0.15,77.8
"99","Jermaine Gresham","TE","ARI",46,33,322,320,136,2,7,1.01,0.06,0.09,0.18,77.2
"100","Donte Moncrief","WR","IND",47,26,391,646,79,2,13.7,0.61,0.22,0.12,0.34,77.1
"101","T.J. Jones","WR","DET",49,30,399,507,77,1,10.3,0.79,0.13,0.1,0.25,75.9
"102","Bruce Ellington","WR","HOU",56,29,330,562,136,2,10,0.59,0.14,0.14,0.32,75.7
"103","Deonte Thompson","WR","BUF",50,27,430,811,81,1,16.2,0.53,0.26,0.15,0.4,75.5
"104","Odell Beckham","WR","NYG",41,25,302,520,65,3,12.7,0.58,0.38,0.25,0.64,74
"105","Corey Davis","WR","TEN",65,34,375,764,101,0,11.8,0.49,0.25,0.19,0.45,71.5
"106","Rashard Higgins","WR","CLE",50,27,312,526,142,2,10.5,0.59,0.12,0.1,0.23,70.6
"107","Zay Jones","WR","BUF",74,27,316,994,63,2,13.4,0.32,0.27,0.17,0.44,70.6
"108","John Brown","WR","ARI",54,21,299,843,59,3,15.6,0.35,0.22,0.14,0.37,69.9
"109","Dede Westbrook","WR","JAC",51,27,339,628,99,1,12.3,0.54,0.34,0.21,0.56,66.9
"110","Josh Bellamy","WR","CHI",45,23,348,552,110,1,12.3,0.63,0.22,0.13,0.34,64.4
"111","Ricardo Louis","WR","CLE",61,27,357,772,82,0,12.7,0.46,0.17,0.12,0.3,62.7
"112","Tyler Higbee","TE","LA",45,25,295,482,77,1,10.7,0.61,0.13,0.1,0.24,60.5
"113","Tavarres King","WR","NYG",37,18,240,462,78,3,12.5,0.52,0.23,0.13,0.35,60.3
"114","Jordan Reed","TE","WAS",35,27,211,223,72,2,6.4,0.95,0.15,0.17,0.36,60.1
"115","Justin Hardy","WR","ATL",29,20,221,245,76,3,8.4,0.9,0.08,0.08,0.18,60.1
"116","Chris Moore","WR","BAL",38,18,248,516,41,3,13.6,0.48,0.16,0.08,0.24,59.9
"117","Cody Latimer","WR","DEN",31,19,287,324,64,2,10.5,0.89,0.1,0.08,0.19,59.7
"118","Rhett Ellison","TE","NYG",32,24,235,163,131,2,5.1,1.44,0.04,0.06,0.13,59.5
"119","Chester Rogers","WR","IND",37,23,284,345,104,1,9.3,0.82,0.16,0.12,0.3,58.2
"120","Josh Gordon","WR","CLE",43,18,335,674,123,1,15.7,0.5,0.46,0.26,0.72,57.5
"121","Tyler Boyd","WR","CIN",32,22,225,218,91,2,6.8,1.03,0.08,0.1,0.2,56.5
"122","Zach Miller","TE","CHI",35,20,236,298,72,2,8.5,0.79,0.19,0.16,0.37,55.6
"123","Luke Willson","TE","SEA",22,15,153,155,90,4,7,0.99,0.03,0.04,0.09,54.3
"124","Gerald Everett","TE","LA",32,16,244,292,108,2,9.1,0.84,0.08,0.07,0.16,53.7
"125","A.J. Derby","TE","DEN",31,19,224,285,74,2,9.2,0.79,0.11,0.1,0.22,53.4
"126","Darren Fells","TE","DET",26,17,177,116,122,3,4.5,1.53,0.03,0.05,0.1,52.7
"127","Tavon Austin","WR","LA",23,14,52,40,82,0,1.7,1.3,0.01,0.05,0.09,51.7
"128","Ricky Seals-Jones","TE","ARI",28,12,201,319,74,3,11.4,0.63,0.11,0.1,0.23,50.1
"129","Terrelle Pryor","WR","WAS",37,20,240,396,58,1,10.7,0.61,0.2,0.14,0.35,50
"130","Jarius Wright","WR","MIN",25,18,198,190,86,2,7.6,1.04,0.06,0.06,0.14,49.8
"131","Jeremy Kerley","WR","NYJ",27,22,217,244,57,1,9,0.89,0.14,0.11,0.27,49.7
"132","Taywan Taylor","WR","TEN",28,16,231,405,59,1,14.5,0.57,0.09,0.06,0.15,49.4
"133","Geronimo Allison","WR","GB",39,23,253,300,119,0,7.7,0.84,0.09,0.09,0.2,48.3
"134","Nick Boyle","TE","BAL",37,28,203,76,153,0,2.1,2.67,0.02,0.07,0.12,48.3
"135","Jakeem Grant","WR","MIA",22,13,203,219,144,2,10,0.93,0.05,0.04,0.09,46.5
"136","Michael Campanaro","WR","BAL",27,19,173,156,81,1,5.8,1.11,0.05,0.06,0.12,46.5
"137","Demetrius Harris","TE","KC",35,18,224,261,129,1,7.5,0.86,0.07,0.08,0.16,46.4
"138","Jonnu Smith","TE","TEN",30,18,157,223,96,2,7.4,0.7,0.06,0.07,0.14,45.7
"139","Russell Shepard","WR","CAR",33,17,202,266,106,1,8.1,0.76,0.07,0.07,0.15,45.1
"140","Mack Hollins","WR","PHI",22,16,226,287,43,1,13,0.79,0.07,0.05,0.12,44.6
