"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"1","Brandon Marshall","WR","CHI",192,118,1508,2327,339,11,12.1,0.65,0.49,0.4,0.94,334.6
"2","A.J. Green","WR","CIN",164,97,1350,2239,361,11,13.7,0.6,0.48,0.3,0.79,301.8
"3","Demaryius Thomas","WR","DEN",141,94,1442,1521,567,10,10.8,0.95,0.32,0.24,0.58,298.2
"4","Dez Bryant","WR","DAL",135,89,1357,1657,438,12,12.3,0.82,0.29,0.21,0.51,296.2
"5","Eric Decker","WR","DEN",122,85,1064,1385,267,13,11.4,0.77,0.29,0.21,0.51,269.4
"6","Julio Jones","WR","ATL",128,79,1198,1521,511,10,11.9,0.79,0.31,0.21,0.53,261.8
"7","Michael Crabtree","WR","SF",127,85,1105,965,544,9,7.6,1.15,0.25,0.29,0.62,250.3
"8","Jimmy Graham","TE","NO",135,85,982,1128,306,9,8.4,0.87,0.23,0.21,0.48,237.2
"9","Randall Cobb","WR","GB",104,80,954,816,456,8,7.8,1.17,0.19,0.2,0.44,236.6
"10","Jason Witten","TE","DAL",147,110,1039,1169,317,3,8,0.89,0.2,0.22,0.48,231.9
"11","Rob Gronkowski","TE","NE",79,55,790,791,300,11,10,1,0.22,0.18,0.43,200
"12","Jeremy Maclin","WR","PHI",122,69,857,1315,253,7,10.8,0.65,0.27,0.21,0.5,196.7
"13","Mike Wallace","WR","PIT",119,64,838,1621,268,8,13.6,0.52,0.33,0.22,0.55,196.5
"14","Torrey Smith","WR","BAL",110,49,855,2002,211,8,18.2,0.43,0.37,0.2,0.55,183.4
"15","Greg Olsen","TE","CAR",104,69,843,912,259,5,8.8,0.92,0.2,0.21,0.46,183.3
"16","Justin Blackmon","WR","JAC",132,64,865,1438,284,5,10.9,0.6,0.29,0.23,0.54,182.8
"17","T.Y. Hilton","WR","IND",90,50,861,1115,378,7,12.4,0.77,0.19,0.15,0.36,181
"18","Antonio Brown","WR","PIT",106,66,787,1095,353,5,10.3,0.72,0.27,0.23,0.53,177.1
"19","Larry Fitzgerald","WR","ARI",156,71,798,1623,282,4,10.4,0.49,0.34,0.26,0.62,174.8
"20","Andre Roberts","WR","ARI",114,64,759,1091,221,5,9.6,0.7,0.24,0.2,0.47,172.8
"21","Jermaine Gresham","TE","CIN",94,64,737,663,405,5,7.1,1.11,0.14,0.17,0.36,167.7
"22","Jordy Nelson","WR","GB",73,49,745,898,251,7,12.3,0.83,0.27,0.17,0.45,165.5
"23","Josh Gordon","WR","CLE",95,50,805,1248,331,5,13.1,0.65,0.3,0.17,0.46,160.5
"24","Golden Tate","WR","SEA",67,45,682,946,258,7,14.1,0.72,0.24,0.18,0.44,157.2
"25","Kyle Rudolph","TE","MIN",93,53,493,613,275,9,6.6,0.8,0.18,0.19,0.42,156.3
"26","Jeremy Kerley","WR","NYJ",95,56,827,971,292,2,10.2,0.85,0.22,0.19,0.44,151.5
"27","Kendall Wright","WR","TEN",104,64,626,724,314,4,7,0.86,0.16,0.2,0.42,151
"28","Danny Amendola","WR","STL",101,63,666,805,240,3,8,0.83,0.26,0.27,0.59,148.4
"29","Martellus Bennett","TE","NYG",90,55,626,815,205,5,9.1,0.77,0.16,0.17,0.36,147.6
"30","Antonio Gates","TE","SD",80,49,538,860,130,7,10.8,0.63,0.23,0.16,0.4,144.8
"31","Brandon LaFell","WR","CAR",76,44,677,780,318,4,10.3,0.87,0.21,0.19,0.43,139.2
"32","Pierre Garcon","WR","WAS",68,45,644,673,313,4,9.9,0.96,0.32,0.27,0.62,133.6
"33","Darrius Heyward-Bey","WR","OAK",80,41,606,1059,230,5,13.2,0.57,0.22,0.13,0.35,133.2
"34","Brent Celek","TE","PHI",88,57,684,680,295,1,7.7,1.01,0.14,0.15,0.32,131.4
"35","Marcedes Lewis","TE","JAC",77,52,540,540,242,4,7,1,0.11,0.14,0.29,130
"36","Kenny Britt","WR","TEN",90,45,589,1144,138,4,12.7,0.51,0.27,0.19,0.47,127.9
"37","DeSean Jackson","WR","PHI",87,45,700,1295,225,2,14.9,0.54,0.36,0.21,0.57,126.3
"38","Vernon Davis","TE","SF",61,41,548,698,179,5,11.4,0.79,0.18,0.14,0.34,125.8
"39","Jared Cook","TE","TEN",72,44,523,599,157,4,8.3,0.87,0.15,0.15,0.33,120.3
"40","Lance Kendricks","TE","STL",64,42,519,426,225,4,6.7,1.22,0.09,0.11,0.24,117.9
"41","Benjamin Watson","TE","CLE",82,49,501,510,220,3,6.2,0.98,0.12,0.14,0.3,117.1
"42","Dwayne Allen","TE","IND",66,45,521,476,242,3,7.2,1.09,0.08,0.11,0.23,115.6
"43","Michael Floyd","WR","ARI",86,45,562,967,158,2,11.2,0.58,0.21,0.15,0.37,113.2
"44","Emmanuel Sanders","WR","PIT",74,44,626,893,185,1,12.1,0.7,0.17,0.13,0.32,113
"45","Anthony Fasano","TE","MIA",69,41,332,480,90,5,7,0.69,0.11,0.14,0.28,104.2
"46","Harry Douglas","WR","ATL",59,38,396,504,153,1,8.5,0.79,0.1,0.1,0.22,84
"47","Doug Baldwin","WR","SEA",50,29,366,618,82,3,12.4,0.59,0.17,0.14,0.33,83.6
"48","Alshon Jeffery","WR","CHI",48,24,367,759,65,3,15.8,0.48,0.24,0.16,0.4,78.7
"49","Delanie Walker","TE","SF",39,21,339,475,50,3,12.2,0.71,0.13,0.09,0.22,72.9
"50","Julian Edelman","WR","NE",32,21,235,239,138,3,7.5,0.98,0.08,0.09,0.2,67
"51","Travis Benjamin","WR","CLE",37,18,298,534,69,2,14.4,0.56,0.15,0.08,0.22,66.4
"52","Coby Fleener","TE","IND",48,26,281,447,95,2,9.3,0.63,0.1,0.1,0.22,66.1
"53","Jarius Wright","WR","MIN",36,22,310,383,109,2,10.6,0.81,0.25,0.18,0.44,66.1
"54","Logan Paulsen","TE","WAS",38,25,308,296,122,1,7.8,1.04,0.09,0.1,0.21,61.8
"55","Mohamed Sanu","WR","CIN",25,16,154,210,71,4,8.4,0.73,0.13,0.13,0.29,56.9
"56","Clay Harbor","TE","PHI",39,25,188,269,80,2,6.9,0.7,0.07,0.09,0.18,55.8
"57","Aldrick Robinson","WR","WAS",19,11,237,358,62,3,18.8,0.66,0.16,0.07,0.22,54.1
"58","Charles Clay","TE","MIA",33,18,212,236,81,2,7.2,0.9,0.07,0.08,0.17,51.2
"59","Marvin Jones","WR","CIN",32,18,201,397,34,1,12.4,0.51,0.16,0.12,0.29,48.8
"60","Dwayne Harris","WR","DAL",31,17,222,301,115,1,9.7,0.74,0.06,0.05,0.11,45.2
"61","Ed Dickson","TE","BAL",33,21,225,245,83,0,7.4,0.92,0.07,0.09,0.18,43.5
"62","Brandon Tate","WR","CIN",25,13,211,313,60,1,12.5,0.67,0.07,0.05,0.12,40.1
"63","Brian Quick","WR","STL",27,11,156,335,32,2,12.4,0.47,0.08,0.05,0.14,38.6
"64","Luke Stocker","TE","TB",27,16,165,142,89,1,5.3,1.16,0.03,0.06,0.11,38.5
"65","Niles Paul","TE","WAS",15,8,152,145,56,1,9.7,1.05,0.04,0.04,0.09,29.1
"66","Cole Beasley","WR","DAL",24,15,128,125,59,0,5.2,1.02,0.05,0.07,0.14,27.8
"67","Rishard Matthews","WR","MIA",20,11,151,241,30,0,12.1,0.63,0.12,0.1,0.23,26.1
"68","Lee Smith","TE","BUF",4,4,13,8,5,2,2,1.62,0,0.01,0.02,17.3
"69","James Hanna","TE","DAL",11,8,86,51,50,0,4.6,1.69,0.01,0.03,0.05,16.6
"70","Michael Hoomanawanui","TE","NE",7,5,109,81,48,0,11.6,1.35,0.03,0.02,0.06,15.9
"71","Terrelle Pryor","WR","OAK",1,1,22,313,21,0,313,0.07,0.38,0.01,0.29,14.3
"72","Rhett Ellison","TE","MIN",9,7,65,7,66,0,0.8,9.29,0,0.02,0.04,13.5
"73","Virgil Green","TE","DEN",6,5,63,2,62,0,0.3,31.5,0,0.04,0.07,11.3
"74","Deonte Thompson","WR","BAL",6,5,51,45,23,0,7.5,1.13,0.02,0.03,0.06,10.1
"75","Garrett Celek","TE","SF",7,4,51,54,21,0,7.7,0.94,0.04,0.05,0.1,9.1
"76","Arrelious Benn","WR","TB",6,4,26,21,22,0,3.5,1.24,0.01,0.02,0.04,8.2
"77","Jermaine Kearse","WR","SEA",7,3,31,93,1,0,13.3,0.33,0.08,0.06,0.14,6.1
"78","Eric Weems","WR","CHI",4,2,27,42,1,0,10.5,0.64,0.01,0.01,0.03,4.7
"79","Jim Dray","TE","ARI",2,2,15,14,1,0,7,1.07,0.01,0.02,0.03,3.5
"80","Andre Holmes","WR","DAL",2,2,11,24,3,0,12,0.46,0.02,0.01,0.03,3.1
"81","Ted Ginn","WR","SF",2,2,1,-4,5,0,-2,-0.25,0,0.01,0.01,2.8
"82","Josh Bellamy","WR","KC",0,0,0,0,0,0,NA,NA,0,0,0,0
"83","Matthew Slater","WR","NE",0,0,0,13,0,0,Inf,0,0,0,0,0
